Date,Share Price in USD
2020-01-02,84.900002
2020-01-03,88.099998
2020-01-06,88.094002
2020-01-07,92.279999
2020-01-08,94.739998
2020-01-09,99.419998
2020-01-10,96.358002
2020-01-13,98.699997
2020-01-14,108.851997
2020-01-15,105.952003
2020-01-16,98.75
2020-01-17,101.522003
2020-01-21,106.050003
2020-01-22,114.377998
2020-01-23,112.849998
2020-01-24,114.125999
2020-01-27,108.398003
2020-01-28,113.697998
2020-01-29,115.138
2020-01-30,126.484001
2020-01-31,128
2020-02-03,134.738007
2020-02-04,176.591995
2020-02-05,164.651993
2020-02-06,139.983994
2020-02-07,146.110001
2020-02-10,160
2020-02-11,153.757996
2020-02-12,155.574005
2020-02-13,148.367996
2020-02-14,157.444
2020-02-18,168.320007
2020-02-19,184.699997
2020-02-20,182.389999
2020-02-21,181.395996
2020-02-24,167.800003
2020-02-25,169.800003
2020-02-26,156.5
2020-02-27,146
2020-02-28,125.940002
2020-03-02,142.251999
2020-03-03,161
2020-03-04,152.792007
2020-03-05,144.753998
2020-03-06,138
2020-03-09,121.078003
2020-03-10,131.886002
2020-03-11,128.039993
2020-03-12,116.178001
2020-03-13,119
2020-03-16,93.900002
2020-03-17,88.001999
2020-03-18,77.800003
2020-03-19,74.940002
2020-03-20,87.639999
2020-03-23,86.720001
2020-03-24,95.459999
2020-03-25,109.050003
2020-03-26,109.477997
2020-03-27,101
2020-03-30,102.052002
2020-03-31,100.25
2020-04-01,100.800003
2020-04-02,96.206001
2020-04-03,101.900002
2020-04-06,102.239998
2020-04-07,109
2020-04-08,110.839996
2020-04-09,112.417999
2020-04-13,118.031998
2020-04-14,139.794006
2020-04-15,148.399994
2020-04-16,143.388
2020-04-17,154.455994
2020-04-20,146.539993
2020-04-21,146.024002
2020-04-22,140.796005
2020-04-23,145.520004
2020-04-24,142.162003
2020-04-27,147.522003
2020-04-28,159.128006
2020-04-29,158.033997
2020-04-30,171.037994
2020-05-01,151
2020-05-04,140.199997
2020-05-05,157.957993
2020-05-06,155.300003
2020-05-07,155.442001
2020-05-08,158.753998
2020-05-11,158.102005
2020-05-12,165.399994
2020-05-13,164.166
2020-05-14,156
2020-05-15,158.070007
2020-05-18,165.556
2020-05-19,163.033997
2020-05-20,164.100006
2020-05-21,163.199997
2020-05-22,164.434006
2020-05-26,166.899994
2020-05-27,164.171997
2020-05-28,162.701996
2020-05-29,161.75
2020-06-01,171.600006
2020-06-02,178.940002
2020-06-03,177.623993
2020-06-04,177.975998
2020-06-05,175.567993
2020-06-08,183.800003
2020-06-09,188.001999
2020-06-10,198.376007
2020-06-11,198.039993
2020-06-12,196
2020-06-15,183.557999
2020-06-16,202.369995
2020-06-17,197.542007
2020-06-18,200.600006
2020-06-19,202.556
2020-06-22,199.990005
2020-06-23,199.776001
2020-06-24,198.822006
2020-06-25,190.854004
2020-06-26,198.955994
2020-06-29,193.802002
2020-06-30,201.300003
2020-07-01,216.600006
2020-07-02,244.296005
2020-07-06,255.337997
2020-07-07,281.002014
2020-07-08,281
2020-07-09,279.39801
2020-07-10,279.200012
2020-07-13,331.799988
2020-07-14,311.200012
2020-07-15,308.600006
2020-07-16,295.432007
2020-07-17,302.690002
2020-07-20,303.802002
2020-07-21,327.985992
2020-07-22,319.799988
2020-07-23,335.790009
2020-07-24,283.201996
2020-07-27,287
2020-07-28,300.799988
2020-07-29,300.200012
2020-07-30,297.600006
2020-07-31,303
2020-08-03,289.839996
2020-08-04,299.002014
2020-08-05,298.597992
2020-08-06,298.165985
2020-08-07,299.90799
2020-08-10,289.600006
2020-08-11,279.200012
2020-08-12,294
2020-08-13,322.200012
2020-08-14,332.997986
2020-08-17,335.399994
2020-08-18,379.798004
2020-08-19,373
2020-08-20,372.135986
2020-08-21,408.951996
2020-08-24,425.256012
2020-08-25,394.977997
2020-08-26,412
2020-08-27,436.09201
2020-08-28,459.023987
2020-08-31,444.609985
2020-09-01,502.140015
2020-09-02,478.98999
2020-09-03,407.230011
2020-09-04,402.809998
2020-09-08,356
2020-09-09,356.600006
2020-09-10,386.209991
2020-09-11,381.940002
2020-09-14,380.950012
2020-09-15,436.559998
2020-09-16,439.869995
2020-09-17,415.600006
2020-09-18,447.940002
2020-09-21,453.130005
2020-09-22,429.600006
2020-09-23,405.160004
2020-09-24,363.799988
2020-09-25,393.470001
2020-09-28,424.619995
2020-09-29,416
2020-09-30,421.320007
2020-10-01,440.76001
2020-10-02,421.390015
2020-10-05,423.350006
2020-10-06,423.790009
2020-10-07,419.869995
2020-10-08,438.440002
2020-10-09,430.130005
2020-10-12,442
2020-10-13,443.350006
2020-10-14,449.779999
2020-10-15,450.309998
2020-10-16,454.440002
2020-10-19,446.23999
2020-10-20,431.75
2020-10-21,422.700012
2020-10-22,441.920013
2020-10-23,421.839996
2020-10-26,411.630005
2020-10-27,423.76001
2020-10-28,416.480011
2020-10-29,409.959991
2020-10-30,406.899994
2020-11-02,394
2020-11-03,409.730011
2020-11-04,430.619995
2020-11-05,428.299988
2020-11-06,436.100006
2020-11-09,439.5
2020-11-10,420.089996
2020-11-11,416.450012
2020-11-12,415.049988
2020-11-13,410.850006
2020-11-16,408.929993
2020-11-17,460.170013
2020-11-18,448.350006
2020-11-19,492
